State,Court,"Court Type"
California,"Appellate Court","California Supreme Court"
California,"District Court","US District Court, Eastern District California"
California,"District Court","US District Court, Northern District California"
California,"Superior Court","California Superior Court Amador"
California,"Superior Court","California Superior Court El Dorado"
California,"Superior Court","California Superior Court Los Angeles"
California,"Superior Court","California Superior Court Placer"
California,"Superior Court","California Superior Court Sacramento"
California,"Superior Court","California Superior Court Solano"
California,"Superior Court","California Superior Court Yolo"
