State,Court,"Court Type"
Florida,"Circuit Court","Florida Circuit Court 9th Circuit"
Virginia,"Circuit Court","Virginia Circuit Court Alexandria"
Virginia,"Circuit Court","Virginia Circuit Court Charlottesville"
Virginia,"Circuit Court","Virginia Circuit Court Chesapeake"
Virginia,"Circuit Court","Virginia Circuit Court Fairfax"
Virginia,"Circuit Court","Virginia Circuit Court Fauquier"
Virginia,"Circuit Court","Virginia Circuit Court Newport News"
Virginia,"Circuit Court","Virginia Circuit Court Norfolk"
Virginia,"Circuit Court","Virginia Circuit Court Portsmouth"
Virginia,"Circuit Court","Virginia Circuit Court Virginia Beach"
