State,Court,"Court Type"
California,"District Court","US District Court, Northern District California (Local Rules - Charles R. Breyer)"
California,"District Court","US District Court, Northern District California (Local Rules - Magistrate Jacqueline Scott Corley)"
California,"District Court","US District Court, Northern District California (Local Rules - Magistrate Kandis A. Westmore)"
California,"Superior Court","California Superior Court Alameda"
California,"Superior Court","California Superior Court San Joaquin"
California,"Superior Court","California Superior Court Santa Cruz"
