State,Court,"Court Type"
Georgia,"Bankruptcy Court","USBC Northern District Georgia, Adversary Proceedings"
Georgia,"Bankruptcy Court","USBC Northern District Georgia, Chapter 11"
Georgia,"Bankruptcy Court","USBC Northern District Georgia, Chapter 13"
Georgia,"Bankruptcy Court","USBC Northern District Georgia, Chapter 7"
Georgia,"District Court","USDC Middle District Georgia"
Georgia,"District Court","USDC Northern District Georgia"
Georgia,"District Court","USDC Northern District Georgia - Patent"
Georgia,"District Court","USDC Southern District Georgia"
Georgia,"Superior Court","Georgia State Superior Court"
