State,Court,"Court Type"
California,"Appellate Court","California Court of Appeals 1ST District"
California,"Appellate Court","California Court of Appeals 2ND District"
California,"Appellate Court","California Court of Appeals 3RD District"
California,"Appellate Court","California Court of Appeals 4TH District, Division 1"
California,"Appellate Court","California Court of Appeals 4TH District, Division 2"
California,"Appellate Court","California Court of Appeals 4TH District, Division 3"
California,"Appellate Court","California Court of Appeals 5TH District"
California,"Appellate Court","California Court of Appeals 6TH District"
California,"Appellate Court","California Supreme Court"
California,"Bankruptcy Court","USBC Central District California, Adversary Proceedings"
California,"Bankruptcy Court","USBC Central District California, Chapter 11"
California,"Bankruptcy Court","USBC Central District California, Chapter 13"
California,"Bankruptcy Court","USBC Central District California, Chapter 7"
California,"Bankruptcy Court","USBC Eastern District California, Adversary Proceedings"
California,"Bankruptcy Court","USBC Eastern District California, Chapter 11"
California,"Bankruptcy Court","USBC Eastern District California, Chapter 13"
California,"Bankruptcy Court","USBC Eastern District California, Chapter 7"
California,"Bankruptcy Court","USBC Northern District California, Adversary Proceedings"
California,"Bankruptcy Court","USBC Northern District California, Chapter 11"
California,"Bankruptcy Court","USBC Northern District California, Chapter 13"
California,"Bankruptcy Court","USBC Northern District California, Chapter 7"
California,"Bankruptcy Court","USBC Southern District California, Adversary Proceedings"
California,"Bankruptcy Court","USBC Southern District California, Chapter 11"
California,"Bankruptcy Court","USBC Southern District California, Chapter 13"
California,"Bankruptcy Court","USBC Southern District California, Chapter 7"
California,"District Court","US District Court, Central District California"
California,"District Court","US District Court, Central District California (Local Patent Rules - S. James Otero)"
California,"District Court","US District Court, Central District California (Local Rules - Alicemarie H. Stotler)"
California,"District Court","US District Court, Central District California (Local Rules - Andre Birotte, Jr.)"
California,"District Court","US District Court, Central District California (Local Rules - Andrew J Guilford)"
California,"District Court","US District Court, Central District California (Local Rules - Audrey B. Collins) - Moved to CA COA"
California,"District Court","US District Court, Central District California (Local Rules - Beverly Reid O'Connell)"
California,"District Court","US District Court, Central District California (Local Rules - Christina A. Snyder)"
California,"District Court","US District Court, Central District California (Local Rules - Consuelo B. Marshall)"
California,"District Court","US District Court, Central District California (Local Rules - Cormac J. Carney)"
California,"District Court","US District Court, Central District California (Local Rules - Dale S. Fischer)"
California,"District Court","US District Court, Central District California (Local Rules - David O. Carter)"
California,"District Court","US District Court, Central District California (Local Rules - Dean D. Pregerson)"
California,"District Court","US District Court, Central District California (Local Rules - Dolly M. Gee)"
California,"District Court","US District Court, Central District California (Local Rules - Douglas F. McCormick)"
California,"District Court","US District Court, Central District California (Local Rules - Fernando M. Olguin)"
California,"District Court","US District Court, Central District California (Local Rules - Gail J. Standish)"
California,"District Court","US District Court, Central District California (Local Rules - George H. King)"
California,"District Court","US District Court, Central District California (Local Rules - George H. Wu)"
California,"District Court","US District Court, Central District California (Local Rules - J. Spencer Letts) - Deceased"
California,"District Court","US District Court, Central District California (Local Rules - Jacqueline H. Nguyen) Elevated to Ninth Circuit May 2012"
California,"District Court","US District Court, Central District California (Local Rules - James V. Selna)"
California,"District Court","US District Court, Central District California (Local Rules - Jesus G. Bernal)"
California,"District Court","US District Court, Central District California (Local Rules - John A. Kronstadt)"
California,"District Court","US District Court, Central District California (Local Rules - John F. Walter)"
California,"District Court","US District Court, Central District California (Local Rules - Josephine L. Staton)"
California,"District Court","US District Court, Central District California (Local Rules - Justin L. Quackenbush)"
California,"District Court","US District Court, Central District California (Local Rules - Manuel L. Real)"
California,"District Court","US District Court, Central District California (Local Rules - Mariana R. Pfaelzer) - Deceased"
California,"District Court","US District Court, Central District California (Local Rules - Michael W. Fitzgerald)"
California,"District Court","US District Court, Central District California (Local Rules - Otis D. Wright II)"
California,"District Court","US District Court, Central District California (Local Rules - Percy Anderson)"
California,"District Court","US District Court, Central District California (Local Rules - Philip S. Gutierrez)"
California,"District Court","US District Court, Central District California (Local Rules - R. Gary Klausner)"
California,"District Court","US District Court, Central District California (Local Rules - Ronald S. W. Lew)"
California,"District Court","US District Court, Central District California (Local Rules - S. James Otero)"
California,"District Court","US District Court, Central District California (Local Rules - Stephen V. Wilson)"
California,"District Court","US District Court, Central District California (Local Rules - Terry J. Hatter, Jr.)"
California,"District Court","US District Court, Central District California (Local Rules - Valerie Baker Fairbanks)"
California,"District Court","US District Court, Central District California (Local Rules - Virginia A. Phillips)"
California,"District Court","US District Court, Central District California (Local Rules - William D. Keller)"
California,"District Court","US District Court, Central District of California (Local Rules - David T. Bristow)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Alicia G. Rosenberg)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Alka Sagar)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Andrew J. Wistrich)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Arthur Nakazato)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Charles F. Eick)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Frederick F. Mumm)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Jacqueline Choolijan)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Jay C. Gandhi)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Jean P. Rosenbluth)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Michael R. Wilner)"
California,"District Court","US District Court, Central District of California (Local Rules - Magistrate Patrick J. Walsh)"
